iso,country_name,year,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating,data_source
KIR,Kiribati,2020,4,3,2.5,3.2,3.5,2.5,2,2.7,3,3,4,3.5,3.5,3.4,4,2.5,3.5,3,2.5,3.1,4.5,3.1,ADB_CPA
KGZ,Kyrgyz Republic,2010,4.5,3.5,4.5,4.2,5,3.5,4,4.2,4.5,3.5,4,4,4,4,2.5,3.5,3.5,3,3,3.1,3.5,3.9,ADB_CPA
KGZ,Kyrgyz Republic,2011,4.5,3.5,4.5,4.2,5,3.5,4,4.2,5,4,4.5,4.5,4,4.4,3,3.5,3.5,3.5,3.5,3.4,3.5,4,ADB_CPA
KGZ,Kyrgyz Republic,2012,4.5,4,4.5,4.3,5,3.5,4,4.2,4.5,4,4.5,5,4,4.4,3.5,3.5,4,4,4,3.8,3,4.2,ADB_CPA
KGZ,Kyrgyz Republic,2013,4.5,4,4.5,4.3,5,4,4,4.3,4.5,4,5,4.5,4,4.4,3.5,3.5,4,4,3.5,3.7,3,4.2,ADB_CPA
KGZ,Kyrgyz Republic,2014,4,4,4.5,4.2,5,4,4,4.3,4.5,4,5,5,3.5,4.4,3.5,3.5,4,4,4,3.8,4,4.2,ADB_CPA
KGZ,Kyrgyz Republic,2015,4,4,4.5,4.2,5,4,4,4.3,4.5,4,5,5,3.5,4.4,3.5,3.5,4,4,4,3.8,4,4.2,ADB_CPA
KGZ,Kyrgyz Republic,2016,4,4,4,4,4.5,4,4,4.2,4.5,4,5,5,3.5,4.4,3.5,3.5,4,4,3.5,3.7,4.5,4.1,ADB_CPA
KGZ,Kyrgyz Republic,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
KGZ,Kyrgyz Republic,2018,4,4,4,4,4.5,4,4,4.2,5,4,5,5,3,4.4,3.5,3.5,4,4,3.5,3.7,3.5,4.1,ADB_CPA
KGZ,Kyrgyz Republic,2019,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
KGZ,Kyrgyz Republic,2020,4,4,4,4,5,3.5,4,4.2,5,4,5,4.5,3.5,4.4,3.5,3.5,4,4,3.5,3.7,3.5,4.1,ADB_CPA
LAO,Laos,2010,4.5,4,4,4.2,4,3.5,3.5,3.7,4,4.5,4.5,3.5,4,4.1,4,4,3.5,4,3.5,3.8,4,3.9,ADB_CPA
LAO,Laos,2011,4.5,4,4,4.2,4,3.5,3.5,3.7,4,4.5,4.5,3.5,4,4.1,4,4,3.5,4,3.5,3.8,4,3.9,ADB_CPA
LAO,Laos,2012,4.5,4,4,4.2,4.5,3.5,3.5,3.8,4.5,4.5,4.5,3.5,4,4.2,4,4,4,4.5,3.5,4,3.5,4.1,ADB_CPA
LAO,Laos,2013,4.5,4,4,4.2,4.5,3.5,3.5,3.8,4,4.5,4.5,3.5,4,4.1,3.5,4,4,4.5,3.5,3.9,4,4,ADB_CPA
LAO,Laos,2014,4,4,4,4,4.5,3.5,3.5,3.8,4,4.5,4.5,3.5,4,4.1,3.5,4,4,4.5,3.5,3.9,4,4,ADB_CPA
LAO,Laos,2015,4,4,4,4,4.5,3.5,3.5,3.8,4,4.5,4.5,3.5,4,4.1,3.5,4,4,4.5,3.5,3.9,4.5,4,ADB_CPA
LAO,Laos,2016,3.5,4,3.5,3.7,4.5,3.5,3.5,3.8,4,4.5,4.5,3.5,4,4.1,3.5,4,4,4,3.5,3.8,4,3.9,ADB_CPA
LAO,Laos,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
LAO,Laos,2018,3.5,4,3,3.5,4.5,3.5,3.5,3.8,4,4.5,4.5,3.5,3.5,4,3.5,4,4,4,3,3.7,3.5,3.8,ADB_CPA
LAO,Laos,2019,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
LAO,Laos,2020,3.5,3,2.5,3,4.5,3,3.5,3.7,4,4,4.5,3.5,4,4,3.5,3.5,3,3,2.5,3.1,3,3.4,ADB_CPA
MDV,Maldives,2010,4,3.5,3,3.5,3.5,3,4,3.5,3.5,4,4,3.5,3.5,3.7,4,3,4,4,3,3.6,2.5,3.6,ADB_CPA
MDV,Maldives,2011,4,3.5,3,3.5,3.5,3,4,3.5,3.5,4,4,3.5,3.5,3.7,4,3,4,4,3,3.6,4.5,3.6,ADB_CPA
MDV,Maldives,2012,4,3.5,3,3.5,4,3,4,3.7,4,4.5,4.5,4,4,4.2,4,3,4,4,3,3.6,2.5,3.7,ADB_CPA
MDV,Maldives,2013,4,3.5,3,3.5,4,3,4,3.7,4,4.5,4.5,4,4,4.2,4,3,4,4,3,3.6,4.5,3.7,ADB_CPA
MDV,Maldives,2014,3.5,3.5,3,3.3,4.5,3,4,3.8,4,4.5,5,4.5,4,4.4,4,3,4.5,4,3,3.7,4,3.8,ADB_CPA
MDV,Maldives,2015,3.5,3.5,3,3.3,4.5,3,4,3.8,4,4.5,5,4.5,4,4.4,4,3,4.5,4,3,3.7,4.5,3.8,ADB_CPA
MDV,Maldives,2016,3.5,3.5,3,3.3,4,3.5,4,3.8,4,5,5,4.5,4,4.5,4,3,5,4,2.5,3.7,3,3.8,ADB_CPA
MDV,Maldives,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
MDV,Maldives,2018,3.5,3.5,3,3.3,4,3.5,4,3.8,4,5,5,4.5,4,4.5,4,3,5,4,2,3.6,4.5,3.8,ADB_CPA
MDV,Maldives,2019,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
MDV,Maldives,2020,3.5,3.5,3,3.3,4.5,3.5,4.5,4.2,4,5,5,4.5,4,4.5,3.5,4,5,4,2.5,3.8,3.5,4,ADB_CPA
MHL,Marshall Islands,2010,2.5,2.5,3,2.7,3,3,2.5,2.8,3,2,3,3,2.5,2.7,3.5,2.5,3,2,2.5,2.7,3.5,2.7,ADB_CPA
MHL,Marshall Islands,2011,2.5,2.5,3,2.7,3.5,3,2.5,3,3,2,3,3,2.5,2.7,3.5,3,3,2,2.5,2.8,3.5,2.8,ADB_CPA
MHL,Marshall Islands,2012,2.5,2.5,3,2.7,3.5,3,2.5,3,3,2,2.5,3,2.5,2.6,3.5,3,3,2,2.5,2.8,3.5,2.8,ADB_CPA
MHL,Marshall Islands,2013,3,2.5,3,2.8,3,3,2.5,2.8,3,2,3,3,4,3,4,3,3,2.5,3.5,3.2,3.5,3,ADB_CPA
MHL,Marshall Islands,2014,3,2.5,2.5,2.7,3,3,2.5,2.8,3,2.5,3,3,3.5,3,4,3,3,2.5,3,3.1,4,2.9,ADB_CPA
MHL,Marshall Islands,2015,3,2.5,2.5,2.7,3,3,2.5,2.8,3,2.5,3,3,3.5,3,4,3,3,2.5,3,3.1,4,2.9,ADB_CPA
MHL,Marshall Islands,2016,3,2.5,2,2.5,3.5,3,2.5,3,3,2.5,3,3,3.5,3,4,3,3,2.5,2.5,3,4,2.9,ADB_CPA
MHL,Marshall Islands,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
MHL,Marshall Islands,2018,3,2.5,2,2.5,3.5,3,2.5,3,3,2.5,3,3,3,2.9,4,3,2.5,2.5,2.5,2.9,2.5,2.8,ADB_CPA
MHL,Marshall Islands,2019,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
MHL,Marshall Islands,2020,3,2.5,2,2.5,3.5,3,2.5,3,3,2,3,3,3.5,2.9,4,3,2.5,2,2.5,2.8,3.5,2.8,ADB_CPA
FSM,Micronesia,2010,2.5,2,2.5,2.3,4,3.5,2.5,3.3,3,2,2.5,2,3,2.5,3,3,3,2,3,2.8,3.5,2.7,ADB_CPA
FSM,Micronesia,2011,2.5,2,2.5,2.3,4,3.5,2.5,3.3,3,2,2.5,2,3,2.5,3,3,3,2,3,2.8,3.5,2.7,ADB_CPA
FSM,Micronesia,2012,2.5,2.5,2.5,2.5,4,3.5,2.5,3.3,3,2.5,2.5,2,3,2.6,3,3,3,2,3,2.8,3.5,2.8,ADB_CPA
FSM,Micronesia,2013,3,2.5,2.5,2.7,4,3,2.5,3.2,3,2.5,2.5,3,3,2.8,3,3,3,2.5,3,2.9,3.5,2.9,ADB_CPA
FSM,Micronesia,2014,3,2.5,2.5,2.7,4,3.5,2.5,3.3,3,2.5,2.5,3,3,2.8,3,3,3,2.5,3.5,3,3,3,ADB_CPA
FSM,Micronesia,2015,3,2.5,2.5,2.7,4,3.5,2.5,3.3,3,2.5,2.5,3,3,2.8,3,3,3,2.5,3.5,3,3,3,ADB_CPA
FSM,Micronesia,2016,3,2.5,2.5,2.7,4,3.5,2,3.2,3,2.5,3,3,3,2.9,3,3,3,2.5,2.5,2.8,2.5,2.9,ADB_CPA
FSM,Micronesia,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
FSM,Micronesia,2018,3.5,2.5,2.5,2.8,4,3,2,3,3,2.5,3,3,2.5,2.8,3,3,3,2.5,2.5,2.8,4.5,2.9,ADB_CPA
FSM,Micronesia,2019,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
FSM,Micronesia,2020,3.5,2.5,2.5,2.8,4,3,2,3,3,2.5,3,2.5,3,2.8,3,3,3,2.5,2.5,2.8,3.5,2.9,ADB_CPA
MNG,Mongolia,2010,4,3.5,4,3.8,4.5,3.5,4.5,4.2,4,4,4,4,3,3.8,4,4,4.5,3.5,3.5,3.9,3,3.9,ADB_CPA
MNG,Mongolia,2011,4,3.5,4,3.8,4.5,3.5,4.5,4.2,4,4,4,4,3,3.8,4,4,4.5,3.5,3.5,3.9,3,3.9,ADB_CPA
MNG,Mongolia,2012,4,3.5,4,3.8,4.5,3.5,4.5,4.2,4,4,4,4,3,3.8,4,4,4.5,4,3.5,4,3.5,4,ADB_CPA
MNG,Mongolia,2013,3.5,3.5,4,3.7,4.5,3.5,4.5,4.2,4.5,4,4.5,4.5,3,4.1,4,4,4.5,4,4,4.1,3.5,4,ADB_CPA
MNG,Mongolia,2014,3,3,4,3.3,4.5,3.5,4.5,4.2,4.5,4,4.5,4.5,3.5,4.2,4,4,4.5,4,4,4.1,3.5,4,ADB_CPA
MNG,Mongolia,2015,3,2.5,3.5,3,4.5,3.5,4.5,4.2,4.5,4,4.5,4.5,3,4.1,4,4,4.5,4,4,4.1,3.5,3.8,ADB_CPA
MNG,Mongolia,2016,3,2.5,3,2.8,4,3.5,4.5,4,4.5,4,5,4.5,3,4.2,4,3.5,4.5,4,3.5,3.9,4,3.7,ADB_CPA
MNG,Mongolia,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
MNG,Mongolia,2018,4,3.5,3.5,3.7,4.5,3.5,4,4,4.5,4,5,4.5,3,4.2,4,3.5,4.5,4,3.5,3.9,3,3.9,ADB_CPA
MNG,Mongolia,2019,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
MNG,Mongolia,2020,4,4,4,4,4.5,3.5,4.5,4.2,4.5,4.5,5,4.5,3.5,4.4,4,3.5,4.5,4,3.5,3.9,3.5,4.1,ADB_CPA
MMR,Myanmar,2010,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
MMR,Myanmar,2011,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
MMR,Myanmar,2012,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
MMR,Myanmar,2013,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
MMR,Myanmar,2014,3.5,3.5,4,3.7,3,2.5,2.5,2.7,3.5,3.5,3.5,3,2.5,3.2,3,3,3,3,3,3,4,3.1,ADB_CPA
MMR,Myanmar,2015,3.5,3.5,4,3.7,3,2.5,2.5,2.7,3.5,3.5,3.5,3,2.5,3.2,3,3,3,3,3,3,4,3.1,ADB_CPA
MMR,Myanmar,2016,3.5,3.5,4.5,3.8,3.5,3,2.5,3,4,4,3.5,3,2.5,3.4,3,3,3,3,3,3,2.5,3.3,ADB_CPA
MMR,Myanmar,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
MMR,Myanmar,2018,3,3.5,4.5,3.7,4,3,3,3.3,4,4,4,3,2.5,3.5,3,3,3,3,3,3,4,3.4,ADB_CPA
MMR,Myanmar,2019,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
MMR,Myanmar,2020,3.5,3.5,4.5,3.8,4,3,3,3.3,4,4,4,3.5,2.5,3.6,3,3,3,3,3,3,2.5,3.4,ADB_CPA
NRU,Nauru,2010,3,2.5,1.5,2.3,4,1,2,2.3,3,3.5,3,3.5,2.5,3.1,2.5,4,3,3,3.5,3.2,3.5,2.7,ADB_CPA
NRU,Nauru,2011,3,2.5,1.5,2.3,4,1,2,2.3,3,3.5,3,3.5,2.5,3.1,2.5,4,3,3,3.5,3.2,3.5,2.7,ADB_CPA
NRU,Nauru,2012,3,2.5,2,2.5,4,1,2,2.3,3.5,3.5,3,3.5,2.5,3.2,2.5,4,3,3,3.5,3.2,3.5,2.8,ADB_CPA
NRU,Nauru,2013,3,3.5,2,2.8,3.5,1,2,2.2,3.5,2.5,3,3.5,2.5,3,2.5,4,3,3,3,3.1,3.5,2.8,ADB_CPA
