iso,country_name,year,fsi_total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,data_source
AUS,Australia,2018,20.8,2.4,1.7,3.6,1.9,1.9,1.3,0.7,1.2,2,1.4,2,0.7,FSI
AZE,Azerbaijan,2018,74.6,6.1,7.9,6.2,4.1,5.6,4,8.8,5.1,8.6,4.3,7.4,6.5,FSI
BGD,Bangladesh,2018,90.3,7.9,9.3,8.4,5.8,6.4,7.9,7.5,7.8,7.6,7.8,7.8,6.1,FSI
BTN,Bhutan,2018,74.3,4.2,7.5,8.2,5,5.6,7.2,4,5.8,6.3,5.8,6.7,8,FSI
BRN,Brunei Darussalam,2018,59.8,4.8,7.4,5.6,3.8,7.8,4.7,8,1.7,7.4,3.4,1.9,3.3,FSI
KHM,Cambodia,2018,84,6.5,8.6,6.6,5.5,6.5,7.5,8.5,7.5,7.8,6.5,5.4,7.1,FSI
CHN,China,2018,72.4,5.9,7.2,7.6,4.1,7,4.9,8.6,5.4,8.5,6.2,4.6,2.4,FSI
FJI,Fiji,2018,74.5,7.1,7.9,6.6,6.2,6,8.5,6.6,4.7,6.6,4.4,3,6.9,FSI
GEO,Georgia,2018,74,6.5,9.1,7.6,5.8,5.2,4.6,8,4,5.3,3.4,7.2,7.3,FSI
IND,India,2018,76.3,7.1,7.3,8.3,5,6.7,6.4,4.4,7.1,5.8,8,5,5.2,FSI
IDN,Indonesia,2018,72.3,6.2,7,7.2,4.8,5.5,7.2,4.8,5.6,7.3,6.7,5.1,4.9,FSI
JPN,Japan,2018,34.5,1.9,2.6,3.4,3.8,1.3,3.5,0.9,1.9,3.1,4.5,4.1,3.5,FSI
KAZ,Kazakhstan,2018,63.4,4.9,7.6,7.9,5.9,3.9,3.3,8.4,3.7,7,4.2,2.7,3.9,FSI
KGZ,Kyrgyz Republic,2018,78.6,6.8,8,8.1,6.7,5.6,6.7,7.4,4.8,7.2,5.6,5,6.7,FSI
LAO,Laos,2018,80.7,5.2,8.3,6.4,5.5,6.2,7.7,8.9,6.7,7.6,7,5.4,5.8,FSI
MYS,Malaysia,2018,63.6,6,6.8,6.2,3.4,4.7,5.3,7.4,3.9,7.7,5,3.7,3.5,FSI
MDV,Maldives,2018,72.4,6.1,8.3,4.5,5.6,3.3,6.5,8.3,5.5,8,5.7,4.4,6.2,FSI
FSM,Micronesia,2018,74.4,4.3,5.6,3.7,8.5,8,9.9,5.2,5.7,3.6,6.6,3.6,9.8,FSI
MNG,Mongolia,2018,54.9,3.3,5.5,3.5,4.9,6.1,3.5,4,5.1,4.4,4.8,2.7,7,FSI
MMR,Myanmar,2018,96.1,9,8.3,9.8,5.6,7.4,6.9,8.6,8.6,9,6.3,9.2,7.4,FSI
NPL,Nepal,2018,87.9,6.2,8.8,9.6,6.1,6.4,6.4,7.1,6.9,7.4,8.7,7.5,6.8,FSI
NZL,New Zealand,2018,20.9,1.5,1.4,3.3,3.3,2,2.4,0.6,1.1,0.8,1.8,1.8,0.9,FSI
