iso,year,migrant_stock,refugee_stock,disaster_displacement,conflict_displacement,climate_change,air_quality,rule_of_law,gov_effectiveness,corruption_control,state_legit,cpa_d_12,cpa_d_avg,gdp,hdi_value,gini,country_name,region,donor,sids,ldc
TLS,2005,1.1286,0.0013,NA,NA,NA,NA,-0.5022837,-0.9939452,-0.5644838000000001,NA,NA,NA,0.9187274453,0.537,NA,Timor-Leste,Southeast Asia,0,1,1
TON,2005,0.4301,NA,NA,NA,NA,NA,0.529748,-0.547692,-1.329141,NA,NA,NA,3.875163686,0.682,NA,Tonga,Oceania,0,1,0
TUV,2005,0.0209,NA,NA,NA,NA,NA,1.272245,0.023027799999999998,-0.11488430000000001,NA,NA,NA,2.722395982,NA,NA,Tuvalu,Oceania,0,1,1
TWN,2005,NA,NA,NA,NA,NA,NA,1.025266,0.9493285,0.7494035,NA,NA,NA,NA,NA,NA,"Taipei,China",East Asia,1,0,0
UZB,2005,132.9932,4.4537,NA,NA,NA,NA,-1.462433,-1.2070450000000001,-1.226991,NA,NA,NA,1.5602920079999998,0.633,NA,Uzbekistan,Central and West Asia,0,0,0
VNM,2005,5.1768,0.2357,NA,NA,NA,NA,-0.3248107,-0.2346346,-0.7242911999999999,NA,NA,NA,1.273345509,0.624,NA,Viet Nam,Southeast Asia,0,0,0
VUT,2005,0.28,NA,NA,NA,NA,NA,0.5135380999999999,-0.2873107,0.23582899999999998,NA,NA,NA,2.621912898,0.574,NA,Vanuatu,Oceania,0,1,0
WSM,2005,0.5746,NA,NA,NA,NA,NA,1.0580829999999999,0.46123679999999995,0.1817049,NA,NA,NA,4.03145271,0.677,NA,Samoa,Oceania,0,1,0
AFG,2006,NA,NA,NA,NA,NA,53.76,-1.863189,-1.430343,-1.43289,1.6999999999999993,NA,NA,0.353720597,0.429,NA,Afghanistan,South Asia,0,0,1
ARM,2006,NA,NA,NA,NA,87.2,37.8,-0.5464354,-0.2545792,-0.6708225,3,3.5,3.8,2.697018983,0.726,29.7,Armenia,Central and West Asia,0,0,0
AUS,2006,NA,NA,NA,NA,42.5,47,1.77004,1.711956,1.960568,9,NA,NA,50.94822497,0.909,NA,Australia,Oceania,1,0,0
AZE,2006,NA,NA,NA,NA,77.1,32.7,-0.8850427,-0.6535253000000001,-1.089759,1.9000000000000004,NA,NA,3.501041807,0.701,NA,Azerbaijan,Central and West Asia,0,0,0
BGD,2006,NA,NA,NA,NA,77.1,6.9,-0.9039655000000001,-0.8245271000000001,-1.434258,1,3,3.2,0.8094736327000001,0.521,NA,Bangladesh,South Asia,0,0,1
BRN,2006,NA,NA,NA,NA,25.54,63.91,0.12282080000000001,0.8732989,0.20779210000000004,NA,NA,NA,35.45563564,0.825,NA,Brunei Darussalam,Southeast Asia,1,0,0
BTN,2006,NA,NA,NA,NA,71.68,74.155,0.1937875,0.2366175,0.8159847,1.5999999999999996,4,3.9,1.572462107,0.526,NA,Bhutan,South Asia,0,0,1
CHN,2006,NA,NA,NA,NA,52.7,22.3,-0.6394754,0.0704749,-0.5145814000000001,1.5,NA,NA,3.800759082,0.653,NA,People's Republic of China,East Asia,1,0,0
COK,2006,NA,NA,NA,NA,NA,NA,0.9527781999999999,0.6099446,0.6034251,NA,NA,NA,NA,NA,NA,Cook Islands,Oceania,0,1,0
FJI,2006,NA,NA,NA,NA,54.3,90.5,-0.0644722,-0.09139889999999999,0.0088322,NA,NA,NA,4.619734029,0.708,NA,Fiji,Oceania,0,1,0
FSM,2006,NA,NA,NA,NA,NA,62.93,0.684762,-0.3004403,-0.2524891,NA,4,3.5,3.0421581920000005,0.583,NA,Federated States of Micronesia,Oceania,0,1,0
GEO,2006,NA,NA,NA,NA,92.7,33.2,-0.46390459999999994,-0.2444875,0.0443966,2.3,NA,NA,2.563543091,0.731,36.9,Georgia,Central and West Asia,0,0,0
HKG,2006,NA,NA,NA,NA,NA,NA,1.55219,1.914575,1.866716,NA,NA,NA,34.457833189999995,0.886,NA,"Hong Kong, China",East Asia,1,0,0
IDN,2006,NA,NA,NA,NA,59.8,25.1,-0.7190338000000001,-0.3315875,-0.8384197,3.3,NA,NA,2.289422012,0.642,34.3,Indonesia,Southeast Asia,1,0,0
IND,2006,NA,NA,NA,NA,57.9,28.4,0.17733110000000002,-0.0983199,-0.276444,5.2,NA,NA,1.0146276410000001,0.546,NA,India,South Asia,1,0,0
JPN,2006,NA,NA,NA,NA,70.5,52.6,1.363448,1.589435,1.3292190000000002,8.2,NA,NA,33.53151856,0.879,NA,Japan,East Asia,1,0,0
KAZ,2006,NA,NA,NA,NA,16.1,60.1,-1.015587,-0.4263095,-0.9921018,2.5,NA,NA,7.837629145,0.754,30.2,Kazakhstan,Central and West Asia,1,0,0
KGZ,2006,NA,NA,NA,NA,61.5,50.6,-1.313625,-0.8058546999999999,-1.317895,1.6999999999999993,2.5,2.9,0.8371337991000001,0.647,37.4,Kyrgyz Republic,Central and West Asia,0,0,0
KHM,2006,NA,NA,NA,NA,66,56.6,-1.234537,-0.9666379999999999,-1.253652,2.2,2.5,2.8,0.7596475657999999,0.506,NA,Cambodia,Southeast Asia,0,0,1
KIR,2006,NA,NA,NA,NA,75.44,73.91,0.8492128000000001,-0.48840379999999994,0.0480343,NA,4,3.3,1.495663562,NA,37,Kiribati,Oceania,0,1,1
KOR,2006,NA,NA,NA,NA,71.5,47.1,0.8714591999999999,1.045397,0.34836740000000005,6.1,NA,NA,22.192185119999998,0.868,31.7,Republic of Korea,East Asia,1,0,0
LAO,2006,NA,NA,NA,NA,92.4,56,-1.01524,-0.9770249,-1.314594,2.0999999999999996,3,2.6,1.252693903,0.514,NA,Lao People's Democratic Republic,Southeast Asia,0,0,1
LKA,2006,NA,NA,NA,NA,85.6,52.7,0.1753448,-0.1612208,-0.20008420000000002,1.4000000000000004,3,3.3,2.39843236,0.732,39.7,Sri Lanka,South Asia,0,0,0
MDV,2006,NA,NA,NA,NA,75.46,59.575,-0.0666002,0.1291752,-0.5997719,NA,4,3.7,8.109574119,0.659,NA,Maldives,South Asia,0,1,0
