iso,country_name,mean_temperature,year,data_source
PNG,Papua New Guinea,25.11,2017,World Bank Climate Knowledge Portal 
PNG,Papua New Guinea,25.1,2018,World Bank Climate Knowledge Portal 
PNG,Papua New Guinea,25.1,2019,World Bank Climate Knowledge Portal 
PNG,Papua New Guinea,25.14,2020,World Bank Climate Knowledge Portal 
PHL,Philippines,25.83,2010,World Bank Climate Knowledge Portal 
PHL,Philippines,25.63,2011,World Bank Climate Knowledge Portal 
PHL,Philippines,25.93,2012,World Bank Climate Knowledge Portal 
PHL,Philippines,25.94,2013,World Bank Climate Knowledge Portal 
PHL,Philippines,25.78,2014,World Bank Climate Knowledge Portal 
PHL,Philippines,26.02,2015,World Bank Climate Knowledge Portal 
PHL,Philippines,26.36,2016,World Bank Climate Knowledge Portal 
PHL,Philippines,25.91,2017,World Bank Climate Knowledge Portal 
PHL,Philippines,26.11,2018,World Bank Climate Knowledge Portal 
PHL,Philippines,26.18,2019,World Bank Climate Knowledge Portal 
PHL,Philippines,26.3,2020,World Bank Climate Knowledge Portal 
WSM,Samoa,27.69,2010,World Bank Climate Knowledge Portal 
WSM,Samoa,27.28,2011,World Bank Climate Knowledge Portal 
WSM,Samoa,27.37,2012,World Bank Climate Knowledge Portal 
WSM,Samoa,27.63,2013,World Bank Climate Knowledge Portal 
WSM,Samoa,27.46,2014,World Bank Climate Knowledge Portal 
WSM,Samoa,27.38,2015,World Bank Climate Knowledge Portal 
WSM,Samoa,27.87,2016,World Bank Climate Knowledge Portal 
WSM,Samoa,27.69,2017,World Bank Climate Knowledge Portal 
WSM,Samoa,27.57,2018,World Bank Climate Knowledge Portal 
WSM,Samoa,27.79,2019,World Bank Climate Knowledge Portal 
WSM,Samoa,27.75,2020,World Bank Climate Knowledge Portal 
SGP,Singapore,27.83,2010,World Bank Climate Knowledge Portal 
SGP,Singapore,27.53,2011,World Bank Climate Knowledge Portal 
SGP,Singapore,27.62,2012,World Bank Climate Knowledge Portal 
SGP,Singapore,27.77,2013,World Bank Climate Knowledge Portal 
SGP,Singapore,27.78,2014,World Bank Climate Knowledge Portal 
SGP,Singapore,27.88,2015,World Bank Climate Knowledge Portal 
SGP,Singapore,28.09,2016,World Bank Climate Knowledge Portal 
SGP,Singapore,27.7,2017,World Bank Climate Knowledge Portal 
SGP,Singapore,27.74,2018,World Bank Climate Knowledge Portal 
SGP,Singapore,28.12,2019,World Bank Climate Knowledge Portal 
SGP,Singapore,27.93,2020,World Bank Climate Knowledge Portal 
SLB,Solomon Islands,25.71,2010,World Bank Climate Knowledge Portal 
SLB,Solomon Islands,25.58,2011,World Bank Climate Knowledge Portal 
