country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,data_source
Nauru,NRU,2013,-0.6431231,-0.5787581,0.6232479,WWGI
Nepal,NPL,2013,-0.6867849,-0.9266179,-0.7181886,WWGI
New Zealand,NZL,2013,2.341601,1.758012,1.878849,WWGI
Papua New Guinea,PNG,2013,-0.9613224,-0.663309,-0.9475831,WWGI
Niue,NIU,2013,-0.423874,-0.9944172,-0.7874811,WWGI
Pakistan,PAK,2013,-0.9561632,-0.7921309,-0.856865,WWGI
Palau,PLW,2013,-0.6431231,-0.5787581,0.9033781,WWGI
Philippines,PHL,2013,-0.3808225,0.118351,-0.403449,WWGI
Samoa,WSM,2013,0.1452864,0.0244862,0.6832136,WWGI
Singapore,SGP,2013,2.077939,2.089236,1.705421,WWGI
Solomon Islands,SLB,2013,-0.4001315,-0.8241681,-0.5256075,WWGI
"Korea, Rep.",KOR,2013,0.614478,1.125629,0.9537362,WWGI
Sri Lanka,LKA,2013,-0.2147457,-0.17006,-0.2770237,WWGI
"Taiwan, China",TWN,2013,0.6794441,1.211042,1.050092,WWGI
Tajikistan,TJK,2013,-1.284166,-1.058831,-1.252659,WWGI
Thailand,THA,2013,-0.3434226,0.2478922,-0.1205995,WWGI
Timor-Leste,TLS,2013,-0.6837089,-1.231673,-1.2085,WWGI
Tonga,TON,2013,-0.2825491,-0.4047104,-0.0055071,WWGI
Turkmenistan,TKM,2013,-1.407863,-1.282312,-1.386706,WWGI
Tuvalu,TUV,2013,-0.3962667,-0.6596131,0.4851204,WWGI
Uzbekistan,UZB,2013,-1.263031,-0.9140525,-1.226715,WWGI
Vanuatu,VUT,2013,0.2884517,-0.2127796,0.3092289,WWGI
Vietnam,VNM,2013,-0.4781188,-0.2658597,-0.5148515,WWGI
Afghanistan,AFG,2014,-1.354829,-1.332015,-1.445761,WWGI
Armenia,ARM,2014,-0.5239608,-0.1984497,-0.3660013,WWGI
Australia,AUS,2014,1.853722,1.607067,1.923046,WWGI
Azerbaijan,AZE,2014,-1.018758,-0.3642464,-0.6723402,WWGI
Bangladesh,BGD,2014,-0.8869365,-0.7662596,-0.7777678,WWGI
Bhutan,BTN,2014,1.280615,0.2558368,0.3789314,WWGI
Brunei Darussalam,BRN,2014,0.53139,1.086186,0.4724531,WWGI
Cambodia,KHM,2014,-1.137787,-0.6894538,-0.9553155,WWGI
China,CHN,2014,-0.3400132,0.3225908,-0.414574,WWGI
"Hong Kong SAR, China",HKG,2014,1.619889,1.832899,1.860669,WWGI
Cook Islands,COK,2014,,,,WWGI
Fiji,FJI,2014,0.1793656,-0.3682029,-0.5115845,WWGI
Georgia,GEO,2014,0.7860679,0.488922,0.190843,WWGI
India,IND,2014,-0.4279765,-0.2060476,-0.0633363,WWGI
Indonesia,IDN,2014,-0.5617322,-0.0375725,-0.3422761,WWGI
Japan,JPN,2014,1.694852,1.812477,1.601478,WWGI
Kazakhstan,KAZ,2014,-0.8304356,-0.0430555,-0.5981513,WWGI
Kiribati,KIR,2014,0.2519078,-0.5611627,-0.1244644,WWGI
Kyrgyz Republic,KGZ,2014,-1.127966,-0.8659378,-0.9270172,WWGI
Lao PDR,LAO,2014,-0.8490463,-0.4157525,-0.751461,WWGI
Malaysia,MYS,2014,0.4112889,1.114984,0.5882153,WWGI
Maldives,MDV,2014,-0.3765603,-0.362095,-0.5302707,WWGI
Marshall Islands,MHL,2014,-0.107671,-1.559072,-0.2221721,WWGI
"Micronesia, Fed. Sts.",FSM,2014,0.7686412,-0.4979578,-0.2810299,WWGI
Mongolia,MNG,2014,-0.4737496,-0.4359458,-0.3448353,WWGI
Myanmar,MMR,2014,-0.8821717,-1.279958,-1.185768,WWGI
Nauru,NRU,2014,-0.4725188,-0.5690626,-1.009193,WWGI
Nepal,NPL,2014,-0.588211,-0.8520671,-0.649678,WWGI
New Zealand,NZL,2014,2.253601,1.932078,2.008719,WWGI
Papua New Guinea,PNG,2014,-0.9104193,-0.6131731,-0.8018588,WWGI
Niue,NIU,2014,,,,WWGI
Pakistan,PAK,2014,-0.833827,-0.7555079,-0.7604407,WWGI
Palau,PLW,2014,-0.4725188,-0.5690626,0.2755073,WWGI
Philippines,PHL,2014,-0.4370157,0.1927041,-0.3174057,WWGI
Samoa,WSM,2014,0.2961685,0.454568,0.7173197,WWGI
Singapore,SGP,2014,2.07166,2.182681,1.824715,WWGI
Solomon Islands,SLB,2014,-0.2779049,-1.068603,-0.5023792,WWGI
"Korea, Rep.",KOR,2014,0.5477043,1.164612,0.9934545,WWGI
Sri Lanka,LKA,2014,-0.3438012,0.0535279,-0.1701762,WWGI
"Taiwan, China",TWN,2014,0.8072926,1.367739,1.187875,WWGI
Tajikistan,TJK,2014,-1.12716,-0.7831218,-1.011117,WWGI
Thailand,THA,2014,-0.4502288,0.3376566,-0.1914607,WWGI
Timor-Leste,TLS,2014,-0.5263678,-1.181185,-1.121661,WWGI
Tonga,TON,2014,-0.3144411,-0.0695224,-0.1459795,WWGI
Turkmenistan,TKM,2014,-1.314402,-0.8427268,-1.364684,WWGI
Tuvalu,TUV,2014,-0.0145656,-0.9272263,0.3735487,WWGI
Uzbekistan,UZB,2014,-1.185251,-0.6288043,-1.12977,WWGI
Vanuatu,VUT,2014,0.4618848,-0.5343668,0.1785327,WWGI
Vietnam,VNM,2014,-0.4361547,-0.0708256,-0.3599141,WWGI
