country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,data_source
New Zealand,NZL,2008,2.313838,1.678087,1.862746,WWGI
Papua New Guinea,PNG,2008,-1.15477,-0.6948548,-0.9159881,WWGI
Niue,NIU,2008,,,,WWGI
Pakistan,PAK,2008,-0.8950734,-0.7237101,-0.968671,WWGI
Palau,PLW,2008,-0.3233833,-0.6009423,0.7794548,WWGI
Philippines,PHL,2008,-0.7562126,0.016421,-0.5456504,WWGI
Samoa,WSM,2008,0.2070555,0.1640486,0.7890798,WWGI
Singapore,SGP,2008,2.247644,2.436975,1.606087,WWGI
Solomon Islands,SLB,2008,-0.3707808,-0.9970134,-0.6368995,WWGI
"Korea, Rep.",KOR,2008,0.4701436,1.05099,0.8808925,WWGI
Sri Lanka,LKA,2008,-0.2252109,-0.1228165,-0.0118438,WWGI
"Taiwan, China",TWN,2008,0.5228266,1.136482,0.7850089,WWGI
Tajikistan,TJK,2008,-1.18186,-1.072905,-1.285771,WWGI
Thailand,THA,2008,-0.4077929,0.2205064,-0.1402466,WWGI
Timor-Leste,TLS,2008,-0.6473844,-1.047847,-1.046781,WWGI
Tonga,TON,2008,-0.6556217,-0.4582746,0.0736315,WWGI
Turkmenistan,TKM,2008,-1.498502,-1.424742,-1.471751,WWGI
Tuvalu,TUV,2008,-0.2121344,-0.5716191,0.9869859,WWGI
Uzbekistan,UZB,2008,-1.063894,-0.8726988,-1.166035,WWGI
Vanuatu,VUT,2008,0.287317,-0.3016436,0.4633517,WWGI
Vietnam,VNM,2008,-0.7071454,-0.2121504,-0.4651269,WWGI
Afghanistan,AFG,2009,-1.534796,-1.483899,-1.847092,WWGI
Armenia,ARM,2009,-0.6197577,-0.0297348,-0.475852,WWGI
Australia,AUS,2009,2.051661,1.705787,1.740398,WWGI
Azerbaijan,AZE,2009,-1.188454,-0.6581194,-0.8799943,WWGI
Bangladesh,BGD,2009,-1.06978,-0.7912479,-0.7855526,WWGI
Bhutan,BTN,2009,0.9099128,0.4948203,0.2132208,WWGI
Brunei Darussalam,BRN,2009,0.9914091,0.9180717,0.7886911,WWGI
Cambodia,KHM,2009,-1.174739,-0.9450983,-1.118063,WWGI
China,CHN,2009,-0.5149382,0.0938044,-0.4070508,WWGI
"Hong Kong SAR, China",HKG,2009,1.886195,1.741184,1.49594,WWGI
Cook Islands,COK,2009,-0.579232,-0.9838497,-0.7772179,WWGI
Fiji,FJI,2009,-0.3424164,-0.9101737,-0.7710723,WWGI
Georgia,GEO,2009,-0.1239845,0.2873248,-0.2049277,WWGI
India,IND,2009,-0.4519712,-0.0124214,0.013824,WWGI
Indonesia,IDN,2009,-0.8386456,-0.2981317,-0.6026188,WWGI
Japan,JPN,2009,1.377338,1.454036,1.293836,WWGI
Kazakhstan,KAZ,2009,-0.9331235,-0.3915207,-0.6456799,WWGI
Kiribati,KIR,2009,-0.1561034,-0.7840247,0.127355,WWGI
Kyrgyz Republic,KGZ,2009,-1.305888,-0.9648597,-1.325342,WWGI
Lao PDR,LAO,2009,-1.238691,-0.9469504,-1.053463,WWGI
Malaysia,MYS,2009,-0.0564772,0.983706,0.4559681,WWGI
Maldives,MDV,2009,-0.6669996,-0.4402517,-0.1897115,WWGI
Marshall Islands,MHL,2009,-0.3446968,-1.398362,-0.2858856,WWGI
"Micronesia, Fed. Sts.",FSM,2009,-0.1349802,-0.7092258,0.041141,WWGI
Mongolia,MNG,2009,-0.75866,-0.6674092,-0.2607741,WWGI
Myanmar,MMR,2009,-1.660424,-1.614053,-1.531916,WWGI
Nauru,NRU,2009,-0.3968646,-0.3946568,0.4789119,WWGI
Nepal,NPL,2009,-0.7025764,-0.9502964,-0.8600231,WWGI
New Zealand,NZL,2009,2.391192,1.85184,1.930312,WWGI
Papua New Guinea,PNG,2009,-1.232532,-0.739181,-0.8916238,WWGI
Niue,NIU,2009,-0.579232,-0.9838497,-0.7772179,WWGI
Pakistan,PAK,2009,-1.069159,-0.8008026,-0.8310665,WWGI
Palau,PLW,2009,-0.3968646,-0.5462212,0.8114331,WWGI
Philippines,PHL,2009,-0.7682769,-0.0265842,-0.5705019,WWGI
Samoa,WSM,2009,0.1171295,0.0305289,0.6391839,WWGI
Singapore,SGP,2009,2.217089,2.270797,1.566005,WWGI
Solomon Islands,SLB,2009,-0.2926673,-1.099491,-0.6806033,WWGI
"Korea, Rep.",KOR,2009,0.5350723,1.094725,0.9937183,WWGI
Sri Lanka,LKA,2009,-0.3974278,-0.1481891,-0.1070998,WWGI
"Taiwan, China",TWN,2009,0.6201826,1.161016,0.9424071,WWGI
Tajikistan,TJK,2009,-1.214975,-1.106588,-1.26772,WWGI
Thailand,THA,2009,-0.3097054,0.267293,-0.2301871,WWGI
Timor-Leste,TLS,2009,-0.8001626,-1.171952,-1.186103,WWGI
Tonga,TON,2009,-0.6779904,-0.3544413,-0.0890908,WWGI
Turkmenistan,TKM,2009,-1.528696,-1.445099,-1.470047,WWGI
Tuvalu,TUV,2009,-0.2157806,-0.4428224,1.022784,WWGI
Uzbekistan,UZB,2009,-1.268171,-0.6254953,-1.321667,WWGI
Vanuatu,VUT,2009,0.3045432,-0.3239454,0.3978992,WWGI
Vietnam,VNM,2009,-0.5441679,-0.2552605,-0.5400582,WWGI
Afghanistan,AFG,2010,-1.636177,-1.454611,-1.845427,WWGI
Armenia,ARM,2010,-0.6964903,-0.1839135,-0.488626,WWGI
Australia,AUS,2010,2.032045,1.768468,1.764987,WWGI
Azerbaijan,AZE,2010,-1.244144,-0.8069345,-0.8930393,WWGI
Bangladesh,BGD,2010,-1.05741,-0.7356407,-0.8029216,WWGI
Bhutan,BTN,2010,0.9129064,0.5844976,0.1618841,WWGI
Brunei Darussalam,BRN,2010,0.863385,0.9017023,0.7792174,WWGI
Cambodia,KHM,2010,-1.243371,-0.9429737,-1.118496,WWGI
China,CHN,2010,-0.5617908,0.0885483,-0.4099019,WWGI
"Hong Kong SAR, China",HKG,2010,1.962684,1.680426,1.543053,WWGI
Cook Islands,COK,2010,-0.249544,-1.011424,-0.9116844,WWGI
Fiji,FJI,2010,-0.4592106,-0.7242482,-0.8484085,WWGI
Georgia,GEO,2010,0.0079711,0.3091346,-0.2096013,WWGI
India,IND,2010,-0.4682387,0.0258973,-0.0373795,WWGI
Indonesia,IDN,2010,-0.7515621,-0.2143717,-0.6399844,WWGI
Japan,JPN,2010,1.560917,1.527408,1.326391,WWGI
Kazakhstan,KAZ,2010,-0.9981285,-0.4361446,-0.6158919,WWGI
Kiribati,KIR,2010,-0.0772984,-0.850458,0.0551008,WWGI
Kyrgyz Republic,KGZ,2010,-1.173552,-0.651715,-1.266846,WWGI
Lao PDR,LAO,2010,-1.193796,-0.8600156,-0.9797619,WWGI
Malaysia,MYS,2010,0.0893046,1.120302,0.4781814,WWGI
Maldives,MDV,2010,-0.5480477,-0.2071983,-0.3370196,WWGI
Marshall Islands,MHL,2010,-0.3347448,-1.281197,-0.2602703,WWGI
"Micronesia, Fed. Sts.",FSM,2010,-0.1497959,-0.8025251,-0.1015308,WWGI
Mongolia,MNG,2010,-0.7353915,-0.572001,-0.3602034,WWGI
Myanmar,MMR,2010,-1.67334,-1.61781,-1.547695,WWGI
Nauru,NRU,2010,0.0135272,-0.5599803,0.4645541,WWGI
Nepal,NPL,2010,-0.6926662,-0.8735382,-0.9518496,WWGI
New Zealand,NZL,2010,2.338579,1.816404,1.869271,WWGI
Papua New Guinea,PNG,2010,-1.044271,-0.7185656,-0.9091606,WWGI
Niue,NIU,2010,-0.4599035,-1.011424,-0.735762,WWGI
Pakistan,PAK,2010,-1.087688,-0.7658637,-0.7387066,WWGI
Palau,PLW,2010,-0.500219,-0.8492996,0.7541239,WWGI
Philippines,PHL,2010,-0.760691,0.0014643,-0.5525689,WWGI
Samoa,WSM,2010,0.1203972,-0.0391048,0.6666054,WWGI
Singapore,SGP,2010,2.180155,2.241065,1.625962,WWGI
Solomon Islands,SLB,2010,-0.3475579,-0.9544448,-0.6517897,WWGI
"Korea, Rep.",KOR,2010,0.4696376,1.204439,1.003899,WWGI
Sri Lanka,LKA,2010,-0.4214559,-0.1950748,-0.1214751,WWGI
"Taiwan, China",TWN,2010,0.7436285,1.176049,1.013447,WWGI
Tajikistan,TJK,2010,-1.291416,-0.9184213,-1.209445,WWGI
Thailand,THA,2010,-0.333946,0.1876491,-0.2046878,WWGI
Timor-Leste,TLS,2010,-0.7597026,-1.224391,-1.167089,WWGI
Tonga,TON,2010,-0.3344129,-0.3172604,0.0694468,WWGI
Turkmenistan,TKM,2010,-1.532135,-1.563445,-1.487252,WWGI
Tuvalu,TUV,2010,-0.2565227,-0.4873576,0.9992948,WWGI
Uzbekistan,UZB,2010,-1.297584,-0.7137957,-1.41596,WWGI
Vanuatu,VUT,2010,0.2923244,-0.2723725,0.2635953,WWGI
Vietnam,VNM,2010,-0.6237419,-0.2591993,-0.5913824,WWGI
Afghanistan,AFG,2011,-1.579174,-1.448444,-1.896546,WWGI
Armenia,ARM,2011,-0.6568627,-0.1289906,-0.4409416,WWGI
Australia,AUS,2011,2.04471,1.695814,1.742514,WWGI
Azerbaijan,AZE,2011,-1.178846,-0.7651436,-0.8936627,WWGI
Bangladesh,BGD,2011,-1.087299,-0.7552108,-0.7323931,WWGI
Bhutan,BTN,2011,0.8385482,0.6325497,0.1955945,WWGI
Brunei Darussalam,BRN,2011,0.8616439,0.8969321,0.8499598,WWGI
Cambodia,KHM,2011,-1.238731,-0.8627387,-1.04499,WWGI
China,CHN,2011,-0.5070884,0.0881574,-0.46481,WWGI
"Hong Kong SAR, China",HKG,2011,1.852496,1.650636,1.554583,WWGI
Cook Islands,COK,2011,-0.2318449,-0.9730545,-0.8820833,WWGI
Fiji,FJI,2011,-0.1258441,-0.7061993,-0.8244902,WWGI
Georgia,GEO,2011,0.1184005,0.5535932,-0.1242663,WWGI
India,IND,2011,-0.5362576,0.0059228,-0.0906831,WWGI
Indonesia,IDN,2011,-0.7018531,-0.2594484,-0.5929989,WWGI
Japan,JPN,2011,1.561326,1.472547,1.311966,WWGI
Kazakhstan,KAZ,2011,-0.9914735,-0.4098542,-0.5734761,WWGI
Kiribati,KIR,2011,0.0950191,-0.7764066,0.1002314,WWGI
Kyrgyz Republic,KGZ,2011,-1.218826,-0.6379873,-1.19029,WWGI
Lao PDR,LAO,2011,-1.177121,-0.8338407,-1.000485,WWGI
Malaysia,MYS,2011,0.0295228,1.021066,0.4786735,WWGI
Maldives,MDV,2011,-0.5548047,-0.3059395,-0.5539944,WWGI
Marshall Islands,MHL,2011,-0.3320265,-1.46187,0.1230095,WWGI
"Micronesia, Fed. Sts.",FSM,2011,-0.3445338,-0.7549848,-0.0612899,WWGI
Mongolia,MNG,2011,-0.6920758,-0.5857348,-0.2670228,WWGI
Myanmar,MMR,2011,-1.586766,-1.596782,-1.438391,WWGI
Nauru,NRU,2011,-0.0404012,-0.5776894,0.5621791,WWGI
Nepal,NPL,2011,-0.7789158,-0.9025427,-0.8866997,WWGI
New Zealand,NZL,2011,2.297591,1.877416,1.90442,WWGI
Papua New Guinea,PNG,2011,-1.022831,-0.7111115,-0.8055716,WWGI
Niue,NIU,2011,-0.4412377,-0.9730545,-0.7358481,WWGI
Pakistan,PAK,2011,-1.076278,-0.817893,-0.9018267,WWGI
Palau,PLW,2011,-0.5288443,-0.5776894,0.8949479,WWGI
Philippines,PHL,2011,-0.6670987,0.0902608,-0.5110275,WWGI
Samoa,WSM,2011,0.0970169,-0.0094811,0.6886986,WWGI
