country_name,iso,year,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",CPIA quality of public administration rating (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),data_source
Bangladesh,BGD,2013,2.5,3,3,CPIA
Bhutan,BTN,2013,4.5,4,4,CPIA
Cambodia,KHM,2013,2,2.5,3,CPIA
Fiji,FJI,2013,,,,CPIA
Georgia,GEO,2013,3.5,4,3,CPIA
India,IND,2013,3.5,3.5,4,CPIA
Kiribati,KIR,2013,3.5,3,3,CPIA
Kyrgyz Republic,KGZ,2013,3,3,2.5,CPIA
Lao PDR,LAO,2013,2.5,3,3.5,CPIA
Maldives,MDV,2013,3,3,4,CPIA
Marshall Islands,MHL,2013,3.5,2,3,CPIA
"Micronesia, Fed. Sts.",FSM,2013,3.5,2.5,3,CPIA
Mongolia,MNG,2013,3.5,3.5,3.5,CPIA
Myanmar,MMR,2013,2.5,2.5,2.5,CPIA
Nepal,NPL,2013,3,3,3.5,CPIA
Pakistan,PAK,2013,2.5,3.5,2.5,CPIA
Papua New Guinea,PNG,2013,3,3,2,CPIA
Samoa,WSM,2013,4,4,4,CPIA
Solomon Islands,SLB,2013,3,2,2.5,CPIA
Sri Lanka,LKA,2013,3,3,2.5,CPIA
Tajikistan,TJK,2013,2.5,3,3,CPIA
Timor-Leste,TLS,2013,2.5,2,2,CPIA
Tuvalu,TUV,2013,3,2.5,3,CPIA
Uzbekistan,UZB,2013,2,3,3.5,CPIA
Vietnam,VNM,2013,3,3.5,3.5,CPIA
Vanuatu,VUT,2013,3.5,3,3,CPIA
Afghanistan,AFG,2014,2,2.5,2.5,CPIA
Armenia,ARM,2014,,,,CPIA
Bangladesh,BGD,2014,2.5,3,3,CPIA
Bhutan,BTN,2014,4.5,4,4,CPIA
Cambodia,KHM,2014,2,2.5,3,CPIA
Fiji,FJI,2014,,,,CPIA
Georgia,GEO,2014,,,,CPIA
India,IND,2014,,,,CPIA
Kiribati,KIR,2014,3.5,3,3,CPIA
Kyrgyz Republic,KGZ,2014,3,3,2.5,CPIA
Lao PDR,LAO,2014,2.5,3,3.5,CPIA
Maldives,MDV,2014,3,3,4,CPIA
Marshall Islands,MHL,2014,3.5,3,3,CPIA
"Micronesia, Fed. Sts.",FSM,2014,3.5,3,3,CPIA
Mongolia,MNG,2014,3.5,3,3.5,CPIA
Myanmar,MMR,2014,3,3,2.5,CPIA
Nepal,NPL,2014,3,3,3.5,CPIA
Pakistan,PAK,2014,2.5,3.5,3,CPIA
Papua New Guinea,PNG,2014,3,3,2,CPIA
Samoa,WSM,2014,4,3,3.5,CPIA
Solomon Islands,SLB,2014,3,3,2.5,CPIA
Sri Lanka,LKA,2014,3,3,2.5,CPIA
Tajikistan,TJK,2014,2.5,3,3,CPIA
Timor-Leste,TLS,2014,2.5,3,2,CPIA
Tuvalu,TUV,2014,3.5,3,3,CPIA
Uzbekistan,UZB,2014,2,3,3.5,CPIA
Vietnam,VNM,2014,3,3,4,CPIA
Vanuatu,VUT,2014,3,3,3.5,CPIA
Afghanistan,AFG,2015,2,2.5,2.5,CPIA
Armenia,ARM,2015,,,,CPIA
Bangladesh,BGD,2015,2.5,3,3,CPIA
Bhutan,BTN,2015,4.5,4,4,CPIA
Cambodia,KHM,2015,2,2.5,3,CPIA
