country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Political Stability and Absence of Violence/Terrorism: Estimate,value.Regulatory Quality: Estimate,value.Rule of Law: Estimate,value.Voice and Accountability: Estimate,data_source
Georgia,GEO,2015,0.6799068,0.4042414,-0.4660819,0.9224599,0.2714227,0.2745879,WWGI
"Hong Kong SAR, China",HKG,2015,1.651854,1.908817,1.046295,2.189884,1.825471,0.5148095,WWGI
India,IND,2015,-0.3519882,0.0900683,-0.9484934,-0.3914646,-0.0474092,0.4278702,WWGI
Indonesia,IDN,2015,-0.4583642,-0.2408801,-0.6150607,-0.2175578,-0.4221742,0.184858,WWGI
Japan,JPN,2015,1.5697,1.784168,1.065128,1.217743,1.518585,0.9880549,WWGI
Kazakhstan,KAZ,2015,-0.8527389,-0.0735818,-0.0350003,-0.0329584,-0.4394074,-1.163788,WWGI
Kiribati,KIR,2015,0.2202898,-0.4900719,0.8435606,-0.8764771,-0.155342,0.9789279,WWGI
Kyrgyz Republic,KGZ,2015,-1.149887,-0.9147314,-0.8824379,-0.5026596,-0.9893041,-0.404161,WWGI
Lao PDR,LAO,2015,-0.9117131,-0.5108117,0.541362,-0.8064563,-0.7987957,-1.753515,WWGI
Malaysia,MYS,2015,0.2352521,0.948642,0.2589576,0.7526733,0.5018221,-0.3914768,WWGI
Maldives,MDV,2015,-0.4793919,-0.3761196,0.4206715,-0.4149505,-0.5763371,-0.5179127,WWGI
Marshall Islands,MHL,2015,-0.1150457,-1.60135,0.9194738,-1.121721,-0.2127134,1.178826,WWGI
Mongolia,MNG,2015,-0.4916313,-0.4190106,0.7163844,-0.3505109,-0.3798697,0.270258,WWGI
Myanmar,MMR,2015,-0.8362782,-1.238808,-1.165067,-1.222467,-1.236593,-1.218982,WWGI
Nauru,NRU,2015,-0.5247039,-0.5365816,0.5437602,-1.223166,-1.086243,0.5468488,WWGI
New Zealand,NZL,2015,2.27633,1.884018,1.525453,1.920748,2.001249,1.554845,WWGI
Niue,NIU,2015,,,,,,,WWGI
Pakistan,PAK,2015,-0.8108425,-0.667757,-2.482708,-0.627013,-0.766732,-0.7220664,WWGI
Palau,PLW,2015,-0.5247039,-0.5365816,0.9194738,-0.8063775,0.244574,1.200872,WWGI
Papua New Guinea,PNG,2015,-0.9399223,-0.6067827,-0.4221483,-0.5526034,-0.8693526,0.0447437,WWGI
China,CHN,2015,-0.2820595,0.4075751,-0.5502946,-0.2894387,-0.4098733,-1.660777,WWGI
Philippines,PHL,2015,-0.4534664,0.1119681,-0.8556625,-0.0430832,-0.3429787,0.1470693,WWGI
"Korea, Rep.",KOR,2015,0.3738367,1.012077,0.1610141,1.113389,0.9322705,0.6310143,WWGI
Samoa,WSM,2015,0.2912004,0.5082157,1.183974,-0.0804414,0.6983694,0.7358328,WWGI
Solomon Islands,SLB,2015,-0.3408055,-1.024599,0.6609848,-0.9462257,-0.4862776,0.2845245,WWGI
Sri Lanka,LKA,2015,-0.3441233,-0.0095256,0.0903681,-0.0529576,0.0372322,-0.2961409,WWGI
Tajikistan,TJK,2015,-1.125875,-0.8484808,-0.8826423,-1.02426,-1.055601,-1.569086,WWGI
Thailand,THA,2015,-0.4934061,0.3498439,-0.9944293,0.2920193,-0.1477922,-0.9691051,WWGI
Timor-Leste,TLS,2015,-0.521642,-1.045753,-0.2718863,-0.9656562,-1.121583,0.1861515,WWGI
Tonga,TON,2015,-0.467394,-0.3304715,0.8863344,-0.4169923,-0.2009375,0.6616573,WWGI
Turkmenistan,TKM,2015,-1.346857,-0.8507059,-0.0877989,-2.073841,-1.417884,-2.237535,WWGI
Tuvalu,TUV,2015,-0.0328858,-0.9637454,1.391288,-0.686199,0.3569353,1.068598,WWGI
Uzbekistan,UZB,2015,-1.262162,-0.6720677,-0.3730364,-1.642438,-1.111262,-1.95614,WWGI
Vanuatu,VUT,2015,-0.1167238,-0.7838682,0.4784089,-0.3493441,0.1040307,0.5929779,WWGI
Vietnam,VNM,2015,-0.4261853,0.067127,0.0699705,-0.4827265,-0.3394253,-1.358865,WWGI
Nepal,NPL,2016,-0.7997717,-0.8265509,-0.846812,-0.7645323,-0.795664,-0.2514143,WWGI
