country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Political Stability and Absence of Violence/Terrorism: Estimate,value.Regulatory Quality: Estimate,value.Rule of Law: Estimate,value.Voice and Accountability: Estimate,data_source
Niue,NIU,2012,-0.4353436,-0.9988776,,-0.9050641,-0.7848002,-0.4767389,WWGI
Pakistan,PAK,2012,-1.062848,-0.7780076,-2.677004,-0.7171134,-0.884176,-0.8435822,WWGI
Palau,PLW,2012,-0.4270297,-0.5563569,1.0264,-0.993196,0.9037626,1.205604,WWGI
Papua New Guinea,PNG,2012,-0.9380295,-0.7407336,-0.5904424,-0.5122686,-0.8362243,-0.059105,WWGI
China,CHN,2012,-0.4357484,0.0233264,-0.5387821,-0.2408196,-0.5428619,-1.637941,WWGI
Philippines,PHL,2012,-0.5628825,0.1080892,-1.18824,-0.0611084,-0.5231333,-0.0296867,WWGI
"Korea, Rep.",KOR,2012,0.534928,1.199197,0.2671033,0.8941596,0.9841591,0.7255958,WWGI
Samoa,WSM,2012,0.1066658,-0.0191277,0.9992402,-0.3334909,0.6759908,0.3499731,WWGI
Solomon Islands,SLB,2012,-0.3581656,-0.8060813,0.1873163,-1.041204,-0.5399753,-0.0285495,WWGI
Sri Lanka,LKA,2012,-0.2368751,-0.2076246,-0.7170792,-0.1124752,-0.1223696,-0.5752793,WWGI
Tajikistan,TJK,2012,-1.275516,-0.9312044,-1.24086,-1.000983,-1.20035,-1.422404,WWGI
Thailand,THA,2012,-0.3662243,0.2245758,-1.216631,0.2435732,-0.1510798,-0.3211412,WWGI
Timor-Leste,TLS,2012,-0.7359146,-1.180872,-0.2848311,-1.020925,-1.144864,0.0963445,WWGI
Tonga,TON,2012,-0.3212279,-0.4081213,0.8945144,-0.6274376,-0.0375934,0.3362116,WWGI
Turkmenistan,TKM,2012,-1.431173,-1.257159,0.4280879,-2.067515,-1.402587,-2.250428,WWGI
Tuvalu,TUV,2012,-0.350519,-0.6933141,1.290351,-1.234191,0.4614491,0.6616975,WWGI
Uzbekistan,UZB,2012,-1.301437,-0.9106965,-0.5187393,-1.57999,-1.290145,-2.033549,WWGI
Vanuatu,VUT,2012,0.3365192,-0.2233136,1.201701,-0.7308351,0.2845534,0.3956727,WWGI
Vietnam,VNM,2012,-0.5280299,-0.2699399,0.2673587,-0.6687129,-0.5515664,-1.420069,WWGI
Nepal,NPL,2013,-0.6867849,-0.9266179,-1.129146,-0.8489474,-0.7181886,-0.5285748,WWGI
Afghanistan,AFG,2013,-1.43651,-1.385382,-2.519349,-1.193137,-1.597348,-1.240068,WWGI
Armenia,ARM,2013,-0.5317937,0.0688658,0.1103851,0.252607,-0.3442721,-0.5880308,WWGI
Australia,AUS,2013,1.785226,1.640055,1.031073,1.800868,1.778535,1.436414,WWGI
Azerbaijan,AZE,2013,-0.9665772,-0.4752991,-0.4128599,-0.4083123,-0.7239093,-1.402769,WWGI
Bangladesh,BGD,2013,-0.8868789,-0.7941526,-1.627859,-0.9147804,-0.8668659,-0.4053864,WWGI
Bhutan,BTN,2013,0.9015949,0.4003721,0.7846249,-1.078863,0.2902508,-0.1587836,WWGI
Brunei Darussalam,BRN,2013,0.6461149,0.8697968,1.074022,1.105576,0.5945292,-0.5050725,WWGI
Cambodia,KHM,2013,-1.052218,-0.9065329,-0.1364361,-0.3383653,-1.004164,-0.9809273,WWGI
Cook Islands,COK,2013,-0.2185534,-0.9944172,,-1.159103,-0.9324832,-0.4640228,WWGI
"Micronesia, Fed. Sts.",FSM,2013,-0.2044475,-0.5713717,1.102859,-0.9383808,0.0652919,0.9965723,WWGI
Fiji,FJI,2013,-0.1209893,-0.8437901,-0.0510277,-0.5474498,-0.8230026,-0.9095932,WWGI
Georgia,GEO,2013,0.4692806,0.5851756,-0.4413662,0.7566072,-0.0060284,0.1388145,WWGI
"Hong Kong SAR, China",HKG,2013,1.643553,1.746092,0.9228683,1.929717,1.573712,0.725163,WWGI
India,IND,2013,-0.5172881,-0.1717331,-1.229174,-0.4706369,-0.0573845,0.4327801,WWGI
Indonesia,IDN,2013,-0.6136571,-0.1989508,-0.5192646,-0.1954409,-0.5308241,0.0361213,WWGI
Japan,JPN,2013,1.655598,1.618248,1.019142,1.115993,1.44361,1.109647,WWGI
Kazakhstan,KAZ,2013,-0.9288022,-0.5330504,-0.4024739,-0.3668912,-0.6916572,-1.242599,WWGI
Kiribati,KIR,2013,-0.0423936,-0.7700297,1.283926,-1.347343,0.1815301,0.8057979,WWGI
Kyrgyz Republic,KGZ,2013,-1.162661,-0.6522024,-0.9117738,-0.3130327,-1.109251,-0.5382611,WWGI
Lao PDR,LAO,2013,-0.9337132,-0.7303624,0.0674439,-0.8398464,-0.8003266,-1.649452,WWGI
Malaysia,MYS,2013,0.3502346,0.9998574,0.0517916,0.636703,0.435685,-0.3396792,WWGI
Maldives,MDV,2013,-0.7475998,-0.3224895,0.1250374,-0.4310798,-0.7466669,-0.4596337,WWGI
Marshall Islands,MHL,2013,-0.0377923,-1.566291,1.054115,-1.088059,0.1330848,1.186989,WWGI
Mongolia,MNG,2013,-0.4790803,-0.5487577,0.4913208,-0.3235871,-0.3714384,0.1089555,WWGI
Myanmar,MMR,2013,-0.9998913,-1.497578,-1.140372,-1.494474,-1.233859,-1.461627,WWGI
Nauru,NRU,2013,-0.6431231,-0.5787581,1.054115,-1.378451,0.6232479,1.055324,WWGI
New Zealand,NZL,2013,2.341601,1.758012,1.453927,1.828891,1.878849,1.606078,WWGI
Niue,NIU,2013,-0.423874,-0.9944172,,-0.921079,-0.7874811,-0.4640228,WWGI
Pakistan,PAK,2013,-0.9561632,-0.7921309,-2.603302,-0.7003065,-0.856865,-0.7994806,WWGI
Palau,PLW,2013,-0.6431231,-0.5787581,1.054115,-0.9926907,0.9033781,1.205798,WWGI
Papua New Guinea,PNG,2013,-0.9613224,-0.663309,-0.5202469,-0.5095565,-0.9475831,-0.0044631,WWGI
China,CHN,2013,-0.3582174,0.0034887,-0.5437899,-0.2879804,-0.5246463,-1.631409,WWGI
Philippines,PHL,2013,-0.3808225,0.118351,-1.084253,-0.0719822,-0.403449,0.0063471,WWGI
"Korea, Rep.",KOR,2013,0.614478,1.125629,0.2785786,0.9912655,0.9537362,0.7058276,WWGI
Samoa,WSM,2013,0.1452864,0.0244862,0.9890079,-0.2487883,0.6832136,0.4024417,WWGI
Solomon Islands,SLB,2013,-0.4001315,-0.8241681,0.3003827,-1.103141,-0.5256075,0.0015209,WWGI
Sri Lanka,LKA,2013,-0.2147457,-0.17006,-0.6128954,-0.1534275,-0.2770237,-0.5941756,WWGI
Tajikistan,TJK,2013,-1.284166,-1.058831,-1.182374,-1.055816,-1.252659,-1.504127,WWGI
Thailand,THA,2013,-0.3434226,0.2478922,-1.311683,0.2265044,-0.1205995,-0.4299258,WWGI
Timor-Leste,TLS,2013,-0.6837089,-1.231673,-0.3846802,-0.9823202,-1.2085,0.0911216,WWGI
Tonga,TON,2013,-0.2825491,-0.4047104,0.9354464,-0.6340656,-0.0055071,0.4585452,WWGI
Turkmenistan,TKM,2013,-1.407863,-1.282312,0.2490955,-2.090626,-1.386706,-2.216408,WWGI
Tuvalu,TUV,2013,-0.3962667,-0.6596131,1.283926,-1.302011,0.4851204,0.7120426,WWGI
