iso,year,data_source,country_name,ims_both_sex,ims_male,ims_female,totalpop_both_in_thou,totalpop_male_in_though,totalpop_female_in_thou,ims_percent_totalpop_both_sex,ims_percent_totalpop_male,ims_percent_totalpop_female,female_migrants_perc_ims,estimated_refugee_stock_incl_asylum_seekers_both_sexes,refugees_asylum_seekers_perc_ims
PHL,2005,UNDESA,   Philippines,257468,133023,124445,86326.251,43386.652,42939.599,0.298249949,0.306598905,0.289814071,,138,0.053598894
SGP,2005,UNDESA,   Singapore,1710594,758762,951832,4265.693,2156.06,2109.633,40.10119809,35.1920633,45.11836893,,,
THA,2005,UNDESA,   Thailand,2195610,1102248,1093362,65416.189,32173.692,33242.497,3.356371005,3.425929483,3.289048954,,149216,6.796106777
TLS,2005,UNDESA,   Timor-Leste,11286,5578,5708,995.13,502.609,492.521,1.13412318,1.109809017,1.158935355,,13,0.115186957
VNM,2005,UNDESA,   Viet Nam,51768,31106,20662,83832.662,41531.528,42301.134,0.061751588,0.074897317,0.048845026,,2357,4.553005718
AFG,2005,UNDESA,   Afghanistan,87314,49281,38033,25654.274,13239.684,12414.59,0.340348747,0.372221875,0.306357278,,46,0.052683418
BGD,2005,UNDESA,   Bangladesh,1062270,572146,490124,139035.505,71221.594,67813.911,0.764027865,0.803332203,0.722748464,,21156,1.991584061
BTN,2005,UNDESA,   Bhutan,40279,32742,7537,648.744,340.162,308.582,6.208766478,9.625413773,2.442462619,,,
IND,2005,UNDESA,   India,5936740,2931489,3005251,1147609.924,597052.213,550557.711,0.517313407,0.490993742,0.545855764,,139586,2.351223062
MDV,2005,UNDESA,   Maldives,45045,27079,17966,319.604,166.948,152.656,14.09400383,16.22002061,11.76894456,,,
NPL,2005,UNDESA,   Nepal,680729,235852,444877,25744.5,12787.936,12956.564,2.644172542,1.844332033,3.43360323,,127708,18.7604759
PAK,2005,UNDESA,   Pakistan,3174558,1710343,1464215,160304.007,82676.228,77627.779,1.980336025,2.068724035,1.886199784,,1088120,34.27626775
LKA,2005,UNDESA,   Sri Lanka,39526,21318,18208,19544.988,9638.477,9906.511,0.202230874,0.221176022,0.183798312,,227,0.57430552
ARM,2005,UNDESA,   Armenia,469189,191432,277757,2981.262,1401.87,1579.392,15.73793246,13.65547447,17.58632436,,219620,46.80842901
AZE,2005,UNDESA,   Azerbaijan,301834,135143,166691,8538.61,4206.809,4331.801,3.53493133,3.21248243,3.848076124,,3119,1.033349457
GEO,2005,UNDESA,   Georgia,71296,31215,40081,4210.158,2006.77,2203.388,1.693428133,1.555484684,1.81906228,,2505,3.513521095
AUS,2005,UNDESA,   Australia,4878030,2419190,2458840,20178.543,10070.069,10108.474,24.17434202,24.02356925,24.32454196,,66786,1.369118271
NZL,2005,UNDESA,   New Zealand,839952,407690,432262,4135.353,2025.748,2109.605,20.31149457,20.12540553,20.49018655,,5703,0.67896737
FJI,2005,UNDESA,   Fiji,12434,6563,5871,821.606,419.008,402.598,1.513377458,1.566318543,1.458278481,,,
PNG,2005,UNDESA,   Papua New Guinea,29971,17851,12120,6494.902,3303.213,3191.689,0.46145423,0.540413228,0.379736246,,10003,33.37559641
SLB,2005,UNDESA,   Solomon Islands,3271,1830,1441,469.918,240.063,229.855,0.69607889,0.762299896,0.626916969,,,
VUT,2005,UNDESA,   Vanuatu,2800,1398,1402,209.282,106.762,102.52,1.337907703,1.309454675,1.367538041,,,
KIR,2005,UNDESA,   Kiribati,2487,1312,1175,92.319,45.483,46.836,2.693919995,2.884594244,2.50875395,,,
MHL,2005,UNDESA,   Marshall Islands,2417,1485,932,55.257,,,4.374106448,,,,,
FSM,2005,UNDESA,   Micronesia (Fed. States of),2905,1565,1340,106.135,53.939,52.196,2.737080134,2.901425685,2.567246532,,,
NRU,2005,UNDESA,   Nauru,2253,1208,1045,9.848,,,22.87774167,,,,,
PLW,2005,UNDESA,   Palau,6043,3620,2423,19.784,,,30.54488476,,,,,
COK,2005,UNDESA,   Cook Islands,3277,1724,1553,19.07,,,17.18405873,,,,,
NIU,2005,UNDESA,   Niue,522,282,240,1.688,,,30.92417062,,,,,
WSM,2005,UNDESA,   Samoa,5746,2940,2806,179.722,93.129,86.593,3.197160058,3.156911381,3.240446687,,,
TON,2005,UNDESA,   Tonga,4301,2324,1977,100.908,50.652,50.256,4.262298331,4.58817026,3.933858644,,,
TUV,2005,UNDESA,   Tuvalu,209,115,94,9.997,,,2.090627188,,,,,
KAZ,2000,UNDESA,   Kazakhstan,2874194,1323580,1550614,14922.724,7177.202,7745.522,19.26051839,18.44144835,20.01948997,,20579,0.715992031
KGZ,2000,UNDESA,   Kyrgyzstan,389824,162927,226897,4920.712,2432.987,2487.725,7.922105581,6.696583253,9.120662453,,10995,2.820503612
TJK,2000,UNDESA,   Tajikistan,299499,131653,167846,6216.329,3113.723,3102.606,4.817939977,4.228153885,5.409839342,,15597,5.207696854
TKM,2000,UNDESA,   Turkmenistan,219067,102810,116257,4516.128,2222.832,2293.296,4.850770394,4.62518085,5.069428456,,14757,6.736295289
UZB,2000,UNDESA,   Uzbekistan,1406498,606163,800335,24769.955,12317.008,12452.947,5.678242048,4.921349406,6.42687229,,39598,2.815361273
CHN,2000,UNDESA,   China,508034,254082,253952,1290550.767,662187.757,628363.01,0.039365673,0.038370084,0.040414855,,293705,57.81207557
HKG,2000,UNDESA,"   China, Hong Kong SAR",2669122,1225629,1443493,6606.328,3249.716,3356.612,40.40250499,37.71495725,43.00446403,,979,0.036678728
TWN,2000,UNDESA,"   China, Taiwan Province of China",,,,21966.528,11158.608,10807.92,,,,,,
JPN,2000,UNDESA,   Japan,1686444,796928,889516,127524.168,62624.572,64899.596,1.322450502,1.272548418,1.370603293,,3752,0.222479964
MNG,2000,UNDESA,   Mongolia,8206,4564,3642,2397.417,1195.603,1201.814,0.342285051,0.381732063,0.303041902,,,
KOR,2000,UNDESA,   Republic of Korea,244224,143212,101012,47379.237,23771.911,23607.326,0.5154663,0.602442101,0.427884124,,52,0.021291929
BRN,2000,UNDESA,   Brunei Darussalam,96296,53807,42489,333.166,168.75,164.416,28.90330946,31.88562963,25.84237544,,,
KHM,2000,UNDESA,   Cambodia,146085,71638,74447,12155.241,5907.47,6247.771,1.201827261,1.212668029,1.191576964,,34,0.023274121
IDN,2000,UNDESA,   Indonesia,292307,153315,138992,211513.822,105853.827,105659.995,0.138197588,0.144836521,0.131546476,,142562,48.77132604
